FILENAME,SOLUTION 
image1.png,x=-1
image2.png,x=13
image3.png,x=1/2
image4.png,a=-13/2
image5.png,x=7
image6.png,x=19/20
image8.png,x=7/6
image9.png,x=-19
image10.png,x=-2or-3
image11.png,x=3
image12.png,x=1
image13.png,x=-16
image14.png,x=3
image15.png,y=4
image16.png,x=-6
image17.png,a=1/5
image18.png,y=-2
image19.png,x=3
image20.png,x=-7/21
image21.png,x=1
image22.png,2x=10
image23.png,y=5
image24.png,x=5
image25.png,x=2
image26.png,x=5
image27.png,x=12
image28.png,x=14/5
image29.png,x=2
image30.png,m=4/3
